svs_file,animal_id,label,y,COMPOUND_NAME,dose_level,dose_truncated,DOSE,DOSE_UNIT,SACRIFICE_PERIOD,sacrifice_hours,SINGLE_REPEAT_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE_week,n_findings,n_findings_drug,n_findings_spont,max_grade,findings,topographies,grades,sp_flags,EXP_ID,GROUP_ID,INDIVIDUAL_ID,ORGAN,CAPTURE_NO,url,FILE_LOCATION,dup_grade_conflict
55739.svs,E0607-G14-I5,abnormal,1,puromycin aminonucleoside,High,0,40,mg/kg,8 day,192,Repeat,intravenous injection,6,2,2,0,severe,"Change, basophilic; Increased mitosis",Hepatocyte; Hepatocyte,slight; severe,false; false,607,14,5,Liver,01-01,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/puromycin_aminonucleoside/Liver/55739.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/puromycin_aminonucleoside/Liver/55739.svs,0
66148.svs,E0698-G05-I3,abnormal,1,1% cholesterol + 0.25% sodium cholate,High,0,9999,%,4 day,96,Repeat,Diet,6,3,3,0,moderate,"Degeneration, fatty; Deposit, glycogen; Increased mitosis",Peripheral; Peripheral; Hepatocyte,slight; slight; moderate,false; false; false,698,5,3,Liver,01-01,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/1%25_cholesterol_%2B_0.25%25_sodium_cholate/Liver/66148.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/1%25_cholesterol_%2B_0.25%25_sodium_cholate/Liver/66148.svs,0
66153.svs,E0698-G05-I4,abnormal,1,1% cholesterol + 0.25% sodium cholate,High,0,9999,%,4 day,96,Repeat,Diet,6,2,2,0,moderate,"Degeneration, fatty; Increased mitosis",Peripheral; Hepatocyte,slight; moderate,false; false,698,5,4,Liver,01-01,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/1%25_cholesterol_%2B_0.25%25_sodium_cholate/Liver/66153.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/1%25_cholesterol_%2B_0.25%25_sodium_cholate/Liver/66153.svs,0
66156.svs,E0698-G05-I5,abnormal,1,1% cholesterol + 0.25% sodium cholate,High,0,9999,%,4 day,96,Repeat,Diet,6,2,2,0,moderate,"Degeneration, fatty; Increased mitosis",Peripheral; Hepatocyte,slight; moderate,false; false,698,5,5,Liver,01-01,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/1%25_cholesterol_%2B_0.25%25_sodium_cholate/Liver/66156.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/1%25_cholesterol_%2B_0.25%25_sodium_cholate/Liver/66156.svs,0
41821.svs,E0502-G13-I1,abnormal,1,colchicine,High,0,5,mg/kg,4 day,96,Repeat,Gavage,6,3,3,0,moderate,Cellular infiltration; Increased mitosis; Increased mitosis,Periductular; Bile duct cell; Midlobular,minimal; minimal; moderate,false; false; false,502,13,1,Liver,01-01,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/colchicine/Liver/41821.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/colchicine/Liver/41821.svs,0
41824.svs,E0502-G13-I2,abnormal,1,colchicine,High,0,5,mg/kg,4 day,96,Repeat,Gavage,6,3,3,0,moderate,Cellular infiltration; Increased mitosis; Increased mitosis,Periductular; Bile duct cell; Midlobular,minimal; slight; moderate,false; false; false,502,13,2,Liver,01-01,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/colchicine/Liver/41824.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/colchicine/Liver/41824.svs,0
41826.svs,E0502-G13-I3,abnormal,1,colchicine,High,0,5,mg/kg,4 day,96,Repeat,Gavage,6,3,3,0,moderate,Cellular infiltration; Increased mitosis; Increased mitosis,Periductular; Bile duct cell; Midlobular,minimal; slight; moderate,false; false; false,502,13,3,Liver,01-01,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/colchicine/Liver/41826.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/colchicine/Liver/41826.svs,0
57163.svs,E0544-G12-I2,abnormal,1,danazol,Middle,0,1000,mg/kg,24 hr,24,Single,Gavage,6,1,1,0,moderate,Increased mitosis,Hepatocyte,moderate,false,544,12,2,Liver,01-01,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/danazol/Liver/57163.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/danazol/Liver/57163.svs,0
57169.svs,E0544-G12-I3,abnormal,1,danazol,Middle,0,1000,mg/kg,24 hr,24,Single,Gavage,6,1,1,0,moderate,Increased mitosis,Hepatocyte,moderate,false,544,12,3,Liver,01-01,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/danazol/Liver/57169.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/danazol/Liver/57169.svs,0
57180.svs,E0544-G12-I5,abnormal,1,danazol,Middle,0,1000,mg/kg,24 hr,24,Single,Gavage,6,1,1,0,moderate,Increased mitosis,Hepatocyte,moderate,false,544,12,5,Liver,01-01,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/danazol/Liver/57180.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/danazol/Liver/57180.svs,0
