epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,best
1,0.727996,0.5281,0.5229,0.798240,0.5000,0.5750,1
2,0.728540,0.5314,0.5291,0.678147,0.5755,0.5813,1
3,0.717709,0.5462,0.5718,0.726872,0.5000,0.5861,0
4,0.714774,0.5446,0.5626,0.675203,0.5519,0.5949,1
5,0.702177,0.5594,0.5870,0.688064,0.5425,0.5962,0
6,0.706431,0.5561,0.5837,0.682245,0.5425,0.5945,0
7,0.702939,0.5462,0.5891,0.673805,0.5566,0.6052,1
8,0.704149,0.5825,0.5989,0.713494,0.5094,0.6052,0
9,0.706829,0.5512,0.5818,0.677655,0.5472,0.6029,0
10,0.696058,0.5726,0.6092,0.735265,0.5094,0.6103,0
11,0.690652,0.5957,0.6186,0.737853,0.5236,0.6098,0
12,0.707505,0.5611,0.5947,0.680353,0.5519,0.6070,0
13,0.707054,0.5660,0.5901,0.672520,0.5708,0.6142,1
14,0.692074,0.5677,0.6138,0.690024,0.5377,0.6109,0
15,0.709280,0.5792,0.5963,0.696049,0.5472,0.6033,0
16,0.704091,0.5891,0.6141,0.679772,0.5708,0.6048,0
17,0.688614,0.5809,0.6260,0.757896,0.5047,0.6076,0
18,0.692056,0.5627,0.6128,0.704646,0.5802,0.6105,0
19,0.696767,0.5792,0.6092,0.696870,0.5613,0.6086,0
20,0.696286,0.5809,0.6180,0.680527,0.5991,0.6111,0
21,0.702284,0.5842,0.5981,0.676926,0.5613,0.6139,0
22,0.683534,0.5908,0.6257,0.695301,0.5755,0.6170,0
23,0.693506,0.5726,0.6095,0.682290,0.5660,0.6158,0
24,0.688017,0.5858,0.6210,0.811002,0.5047,0.6136,0
25,0.692659,0.5792,0.6124,0.688188,0.5755,0.6149,0
26,0.700224,0.5743,0.6017,0.750058,0.5142,0.6068,0
27,0.686097,0.6089,0.6337,0.703169,0.5613,0.6137,0
28,0.687985,0.5792,0.6158,0.681037,0.5849,0.6140,0
29,0.692150,0.5957,0.6203,0.704466,0.5802,0.6168,0
30,0.694534,0.5644,0.6054,0.704245,0.5755,0.6151,0
31,0.679200,0.6172,0.6357,0.678034,0.5613,0.6194,0
32,0.699241,0.5578,0.6100,0.701167,0.5613,0.6203,0
33,0.687020,0.5825,0.6201,0.809413,0.5000,0.6164,0
