epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,best
1,1.045152,0.5578,0.5692,0.701091,0.5283,0.5700,1
2,1.006436,0.5561,0.6008,0.761622,0.5000,0.5803,0
3,0.953513,0.5561,0.6084,0.829048,0.5094,0.5779,0
4,1.017726,0.5528,0.5901,1.086951,0.5047,0.5526,0
5,0.989926,0.5611,0.5975,0.806554,0.5094,0.5486,0
6,1.105851,0.5660,0.5786,0.821286,0.5142,0.5617,0
7,0.959467,0.5792,0.6052,1.529354,0.5000,0.5875,0
8,1.073023,0.5858,0.6265,1.167104,0.5000,0.5862,0
9,1.085530,0.5809,0.6093,1.048967,0.5142,0.6048,0
10,0.952896,0.5957,0.6252,0.786857,0.5802,0.5852,0
11,1.055075,0.5809,0.6039,0.824413,0.5283,0.5926,0
12,0.979604,0.5908,0.6298,1.192487,0.5330,0.6002,0
13,1.094320,0.6023,0.6152,1.275877,0.5283,0.6217,0
14,0.988158,0.6073,0.6372,1.186907,0.5047,0.5945,0
15,1.157062,0.5974,0.6298,1.765722,0.5000,0.5988,0
16,1.075986,0.5776,0.6264,1.178995,0.5236,0.5873,0
17,0.928702,0.5924,0.6394,1.034495,0.5425,0.6149,0
18,1.028862,0.5908,0.6249,0.778868,0.5896,0.6085,0
19,0.983809,0.6056,0.6384,1.768020,0.5000,0.5990,0
20,1.102940,0.5825,0.6194,0.788347,0.5566,0.5845,0
21,0.994702,0.5792,0.6306,0.851599,0.5896,0.6099,0
