epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,best
1,1.329854,0.5677,0.5889,1.316404,0.5472,0.6455,1
2,1.208423,0.5644,0.6063,1.314484,0.5613,0.6273,1
3,1.167924,0.5561,0.5948,1.448492,0.6226,0.6515,0
4,1.119090,0.5858,0.6457,1.455400,0.5708,0.6130,0
5,1.121817,0.5809,0.6375,1.485181,0.5755,0.6325,0
6,1.085330,0.6122,0.6447,1.567567,0.5991,0.6494,0
7,1.075661,0.6139,0.6592,1.485071,0.6038,0.6503,0
8,1.059908,0.6056,0.6384,1.519873,0.6368,0.6545,0
9,1.011614,0.6139,0.6774,1.638232,0.5849,0.6422,0
10,1.015411,0.6205,0.6602,1.657469,0.5802,0.6379,0
11,0.983618,0.6386,0.6856,1.868037,0.5802,0.6413,0
12,0.958345,0.6419,0.6949,1.725294,0.6368,0.6550,0
13,0.961280,0.6403,0.7057,1.777281,0.5991,0.6561,0
14,0.938687,0.6617,0.7209,1.745935,0.5991,0.6594,0
15,0.929868,0.6700,0.7321,1.716631,0.5660,0.6492,0
16,0.913257,0.6848,0.7486,1.928750,0.5708,0.6374,0
17,0.871143,0.6848,0.7654,1.817030,0.6038,0.6477,0
18,0.834221,0.7129,0.7930,1.980053,0.5896,0.6290,0
19,0.821531,0.7211,0.8044,1.960649,0.5849,0.6216,0
20,0.767166,0.7360,0.8260,2.156394,0.6132,0.6330,0
21,0.750158,0.7558,0.8449,2.168450,0.5708,0.6167,0
22,0.704428,0.7706,0.8594,2.196342,0.5566,0.6200,0
