epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,best
1,0.707026,0.5429,0.5666,0.661068,0.5849,0.6201,1
2,0.695670,0.5776,0.6026,0.664269,0.5802,0.6300,0
3,0.692679,0.5726,0.6068,0.678190,0.5991,0.6128,0
4,0.666271,0.6007,0.6454,0.684528,0.5755,0.6222,0
5,0.666805,0.6106,0.6532,0.680455,0.6132,0.6284,0
6,0.658185,0.6238,0.6684,0.685349,0.5613,0.6021,0
7,0.650778,0.6320,0.6840,0.655626,0.6226,0.6538,1
8,0.635876,0.6304,0.7016,0.721866,0.5802,0.6406,0
9,0.610308,0.6766,0.7453,0.684580,0.6085,0.6380,0
10,0.586813,0.7063,0.7716,0.705544,0.6038,0.6338,0
11,0.563854,0.7261,0.7997,0.753746,0.5849,0.6329,0
12,0.533845,0.7607,0.8272,0.718116,0.5849,0.6456,0
13,0.500107,0.7591,0.8483,0.758233,0.6132,0.6324,0
14,0.455096,0.7987,0.8861,0.730039,0.6226,0.6650,0
15,0.442505,0.8102,0.8947,0.847329,0.6038,0.6194,0
16,0.392525,0.8251,0.9210,0.866782,0.5425,0.6019,0
17,0.343524,0.8548,0.9431,0.877329,0.5896,0.6277,0
18,0.310213,0.8696,0.9582,0.966638,0.5519,0.6049,0
19,0.283491,0.9043,0.9682,1.035841,0.5802,0.5945,0
20,0.240163,0.9142,0.9793,1.087962,0.5708,0.6032,0
21,0.229192,0.9340,0.9870,1.105305,0.5849,0.6131,0
22,0.176458,0.9472,0.9911,1.271554,0.5943,0.6036,0
23,0.143571,0.9620,0.9947,1.192097,0.5896,0.6193,0
24,0.113893,0.9752,0.9978,1.313983,0.6038,0.6389,0
25,0.133697,0.9703,0.9974,1.406464,0.6085,0.6290,0
26,0.152744,0.9736,0.9975,1.536084,0.5660,0.5911,0
27,0.106967,0.9769,0.9986,1.534918,0.5660,0.6004,0
