epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,best
1,0.708829,0.5429,0.5661,0.661298,0.5943,0.6229,1
2,0.698762,0.5710,0.5952,0.667824,0.5613,0.6205,0
3,0.696404,0.5710,0.5943,0.676575,0.5896,0.6087,0
4,0.676574,0.5611,0.6164,0.691141,0.5849,0.6032,0
5,0.680746,0.5809,0.6149,0.700988,0.5613,0.5875,0
6,0.678016,0.5974,0.6233,0.694959,0.5472,0.5785,0
7,0.677769,0.6007,0.6259,0.672929,0.5943,0.6226,0
8,0.677571,0.5842,0.6192,0.717546,0.5755,0.6250,0
9,0.669605,0.6106,0.6464,0.679386,0.5472,0.6177,0
10,0.670547,0.5842,0.6344,0.695051,0.5802,0.6231,0
11,0.670570,0.6089,0.6482,0.687927,0.5566,0.6080,0
12,0.674827,0.5941,0.6355,0.695968,0.5755,0.6313,0
13,0.676019,0.5941,0.6253,0.689651,0.5708,0.6226,0
14,0.667835,0.5974,0.6439,0.699486,0.5849,0.6109,0
15,0.673431,0.6023,0.6317,0.712253,0.5519,0.5867,0
16,0.669542,0.6205,0.6470,0.712918,0.5660,0.5970,0
17,0.672647,0.5908,0.6382,0.720088,0.5708,0.6145,0
18,0.658390,0.6155,0.6607,0.729617,0.5660,0.6070,0
19,0.669445,0.6023,0.6430,0.728077,0.5660,0.5965,0
20,0.671323,0.6155,0.6518,0.699927,0.5613,0.6144,0
21,0.664215,0.6089,0.6442,0.712319,0.5660,0.6229,0
