svs_file,y,split,pair_id,COMPOUND_NAME,EXP_ID,GROUP_ID,INDIVIDUAL_ID,file_path,url,max_grade,n_findings,n_findings_spont,dose_level,grade_ord
27108.svs,0,train,E0040-G18-P0,acetaminophen,40,18,2,dataset/wsi/normal/27108.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27108.svs,normal,0,0,Middle,0
27104.svs,1,train,E0040-G18-P0,acetaminophen,40,18,1,dataset/wsi/abnormal/27104.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27104.svs,minimal,1,0,Middle,1
27113.svs,0,train,E0040-G18-P1,acetaminophen,40,18,3,dataset/wsi/normal/27113.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27113.svs,normal,0,0,Middle,0
27121.svs,1,train,E0040-G18-P1,acetaminophen,40,18,5,dataset/wsi/abnormal/27121.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27121.svs,minimal,1,0,Middle,1
27213.svs,0,train,E0040-G23-P0,acetaminophen,40,23,1,dataset/wsi/normal/27213.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27213.svs,normal,0,0,High,0
27221.svs,1,train,E0040-G23-P0,acetaminophen,40,23,3,dataset/wsi/abnormal/27221.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27221.svs,minimal,1,0,High,1
27217.svs,0,train,E0040-G23-P1,acetaminophen,40,23,2,dataset/wsi/normal/27217.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27217.svs,normal,0,0,High,0
27225.svs,1,train,E0040-G23-P1,acetaminophen,40,23,4,dataset/wsi/abnormal/27225.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27225.svs,minimal,1,0,High,1
28071.svs,0,train,E0042-G13-P0,acetaminophen,42,13,2,dataset/wsi/normal/28071.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28071.svs,normal,0,0,Middle,0
28067.svs,1,train,E0042-G13-P0,acetaminophen,42,13,1,dataset/wsi/abnormal/28067.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28067.svs,slight,2,0,Middle,2
28075.svs,0,train,E0042-G13-P1,acetaminophen,42,13,3,dataset/wsi/normal/28075.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28075.svs,normal,0,0,Middle,0
