svs_file,y,split,pair_id,animal_id,label,COMPOUND_NAME,dose_level,dose_truncated,DOSE,DOSE_UNIT,SACRIFICE_PERIOD,sacrifice_hours,SINGLE_REPEAT_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE_week,n_findings,n_findings_drug,n_findings_spont,max_grade,findings,topographies,grades,sp_flags,EXP_ID,GROUP_ID,INDIVIDUAL_ID,ORGAN,CAPTURE_NO,url,FILE_LOCATION,dup_grade_conflict
27104.svs,1,,E0040-G18-P0,E0040-G18-I1,abnormal,acetaminophen,Middle,0,600,mg/kg,9 hr,9,Single,Gavage,6,1,1,0,minimal,"Change, eosinophilic",Centrilobular,minimal,false,40,18,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27104.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27104.svs,0
27108.svs,0,,E0040-G18-P0,E0040-G18-I2,normal,acetaminophen,Middle,0,600,mg/kg,9 hr,9,Single,Gavage,6,0,0,0,,,,,,40,18,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27108.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27108.svs,0
27113.svs,0,,E0040-G18-P1,E0040-G18-I3,normal,acetaminophen,Middle,0,600,mg/kg,9 hr,9,Single,Gavage,6,0,0,0,,,,,,40,18,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27113.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27113.svs,0
27121.svs,1,,E0040-G18-P1,E0040-G18-I5,abnormal,acetaminophen,Middle,0,600,mg/kg,9 hr,9,Single,Gavage,6,1,1,0,minimal,"Change, eosinophilic",Centrilobular,minimal,false,40,18,5,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27121.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27121.svs,0
27213.svs,0,,E0040-G23-P0,E0040-G23-I1,normal,acetaminophen,High,0,1000,mg/kg,9 hr,9,Single,Gavage,6,0,0,0,,,,,,40,23,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27213.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27213.svs,0
27217.svs,0,,E0040-G23-P1,E0040-G23-I2,normal,acetaminophen,High,0,1000,mg/kg,9 hr,9,Single,Gavage,6,0,0,0,,,,,,40,23,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27217.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27217.svs,0
27221.svs,1,,E0040-G23-P0,E0040-G23-I3,abnormal,acetaminophen,High,0,1000,mg/kg,9 hr,9,Single,Gavage,6,1,1,0,minimal,"Change, eosinophilic",Centrilobular,minimal,false,40,23,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27221.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27221.svs,0
27225.svs,1,,E0040-G23-P1,E0040-G23-I4,abnormal,acetaminophen,High,0,1000,mg/kg,9 hr,9,Single,Gavage,6,1,1,0,minimal,"Change, eosinophilic",Centrilobular,minimal,false,40,23,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27225.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/27225.svs,0
28067.svs,1,,E0042-G13-P0,E0042-G13-I1,abnormal,acetaminophen,Middle,0,600,mg/kg,4 day,96,Repeat,Gavage,6,2,2,0,slight,Cellular infiltration; Necrosis,Centrilobular; Centrilobular,slight; minimal,false; false,42,13,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28067.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28067.svs,0
28071.svs,0,,E0042-G13-P0,E0042-G13-I2,normal,acetaminophen,Middle,0,600,mg/kg,4 day,96,Repeat,Gavage,6,0,0,0,,,,,,42,13,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28071.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28071.svs,0
