svs_file,label,width,height,AppMag,mpp_x,mpp_y,vendor,n_levels,resize_to_20x,approx_patches_20x
10646.svs,abnormal,51791,32262,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25452
10648.svs,abnormal,51791,32511,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25452
11033.svs,abnormal,59759,25931,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,23533
11035.svs,abnormal,61751,26261,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,24582
11055.svs,abnormal,61751,33018,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,30848
11080.svs,abnormal,61751,37852,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,35427
11463.svs,abnormal,65735,32907,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,32768
11468.svs,abnormal,73703,31317,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,35014
11478.svs,abnormal,65735,29830,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,29696
11480.svs,abnormal,69719,32487,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,34272
11722.svs,abnormal,61751,41644,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,39042
11727.svs,abnormal,61751,35846,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,33740
11850.svs,abnormal,67727,41510,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,42768
11918.svs,abnormal,57767,38698,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,33975
11925.svs,abnormal,59759,43766,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,39610
13057.svs,abnormal,53783,36741,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,30030
13088.svs,abnormal,55775,36870,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,31248
13105.svs,abnormal,49799,35152,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,26578
13109.svs,abnormal,51791,32161,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,25250
13116.svs,abnormal,51791,32075,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,25250
13120.svs,abnormal,51791,38356,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,30098
13127.svs,abnormal,55775,34050,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,28861
15431.svs,abnormal,35855,32580,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,17780
15530.svs,abnormal,33863,34682,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,17820
15537.svs,abnormal,105575,45937,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,73748
15568.svs,abnormal,33863,34519,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,17688
15644.svs,abnormal,105575,45937,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,73748
15658.svs,abnormal,105575,45937,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,73748
15793.svs,abnormal,49799,36338,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,27354
15796.svs,abnormal,47807,34845,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25296
15812.svs,abnormal,47807,35676,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25854
15816.svs,abnormal,49799,39497,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,29876
15817.svs,abnormal,45815,36925,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25632
16713.svs,abnormal,49799,28440,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,21534
16715.svs,abnormal,49799,28438,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,21534
19714.svs,abnormal,45815,39171,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,27234
20367.svs,abnormal,61751,35122,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,33017
20370.svs,abnormal,59759,38676,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,35183
20414.svs,abnormal,63743,37921,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,36704
20422.svs,abnormal,59759,34163,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,30989
20477.svs,abnormal,59759,41978,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,37979
20483.svs,abnormal,75695,46250,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,53100
20970.svs,abnormal,37847,23880,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,13671
20977.svs,abnormal,41831,28366,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,17930
20979.svs,abnormal,41831,28034,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,17767
21000.svs,abnormal,41831,25538,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,16137
21011.svs,abnormal,41831,22463,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,14181
21014.svs,abnormal,43823,25619,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,17100
21023.svs,abnormal,43823,25536,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,16929
21024.svs,abnormal,41831,25040,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,15811
21937.svs,abnormal,45815,36511,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25276
21945.svs,abnormal,45815,38589,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,26700
22068.svs,abnormal,43823,34268,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,22743
22076.svs,abnormal,41831,33604,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,21353
22088.svs,abnormal,39839,33109,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,19995
22689.svs,abnormal,31871,28046,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,13516
25609.svs,abnormal,65735,32991,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,32768
25613.svs,abnormal,65735,31328,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,31232
25614.svs,abnormal,103583,45958,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,72316
25619.svs,abnormal,59759,35302,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,31921
25697.svs,abnormal,63743,35573,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,34224
25703.svs,abnormal,57767,32891,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,28800
25757.svs,abnormal,73703,46271,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,51660
25766.svs,abnormal,105575,45937,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,73748
25961.svs,abnormal,57767,30795,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,27000
25962.svs,abnormal,57767,33696,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,29475
25975.svs,abnormal,65735,38561,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,38400
26001.svs,abnormal,59759,37401,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,34018
26006.svs,abnormal,51791,33205,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,26058
26011.svs,abnormal,57767,42497,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,37350
26074.svs,abnormal,51791,36908,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,29088
26124.svs,abnormal,57767,35397,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,31050
26129.svs,abnormal,57767,37656,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,33075
26553.svs,abnormal,63743,30165,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,29016
26557.svs,abnormal,63743,29253,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,28272
26562.svs,abnormal,77687,36967,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,43632
26583.svs,abnormal,61751,31831,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,29884
26587.svs,abnormal,69719,36728,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,38896
26593.svs,abnormal,71711,36225,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,39480
27104.svs,abnormal,51791,36336,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,28482
27121.svs,abnormal,59759,44142,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,40076
27221.svs,abnormal,45815,37423,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25988
27225.svs,abnormal,53783,38992,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,31920
27359.svs,abnormal,57767,39837,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,34875
27363.svs,abnormal,59759,39652,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,35882
27406.svs,abnormal,63743,46375,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,44888
27408.svs,abnormal,59759,27177,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,24698
27410.svs,abnormal,61751,31085,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,29161
27414.svs,abnormal,65735,32159,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,32000
27419.svs,abnormal,69719,32654,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,34544
27505.svs,abnormal,57767,40389,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,35325
27507.svs,abnormal,61751,35914,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,33740
27622.svs,abnormal,57767,27180,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,23850
27624.svs,abnormal,61751,28089,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,26269
27651.svs,abnormal,59759,27344,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,24698
27655.svs,abnormal,55775,27265,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,23002
28067.svs,abnormal,55775,37826,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,31899
28079.svs,abnormal,65735,36316,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,36096
28096.svs,abnormal,59759,42560,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,38678
28110.svs,abnormal,61751,34824,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,32776
28132.svs,abnormal,63743,42307,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,40920
28140.svs,abnormal,63743,41807,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,40424
28150.svs,abnormal,59759,39318,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,35649
28174.svs,abnormal,57767,37408,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,32850
28178.svs,abnormal,57767,39653,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,34650
28199.svs,abnormal,63743,43472,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,41912
28657.svs,abnormal,105575,45937,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,73748
28685.svs,abnormal,105575,45937,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,73748
28713.svs,abnormal,61751,29170,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,27233
28718.svs,abnormal,69719,28163,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,29920
28747.svs,abnormal,65735,33907,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,33792
29033.svs,abnormal,59759,25682,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,23300
29863.svs,abnormal,59759,36990,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,33552
29882.svs,abnormal,55775,38077,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,32116
29893.svs,abnormal,55775,37826,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,31899
30264.svs,abnormal,45815,32517,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,22606
30409.svs,abnormal,57767,38373,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,33525
30410.svs,abnormal,55775,39458,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,33418
30481.svs,abnormal,53783,33422,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,27300
30507.svs,abnormal,51791,32011,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25250
30509.svs,abnormal,53783,32509,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,26460
30518.svs,abnormal,49799,38833,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,29294
30525.svs,abnormal,53783,31093,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25410
30716.svs,abnormal,65735,34033,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,33792
30747.svs,abnormal,61751,35364,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,33258
30756.svs,abnormal,61751,40513,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,38078
30821.svs,abnormal,51791,28684,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,22624
30847.svs,abnormal,65735,38045,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,37888
31119.svs,abnormal,55775,37662,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,31899
31163.svs,abnormal,105575,45937,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,73748
31166.svs,abnormal,67727,45283,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,46464
31639.svs,abnormal,31871,41184,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,19840
